地域,自然環境保全地域面積,年平均気温,最高気温,最低気温,年間降水量
北海道,9561.83,11,30.9,-7.4,966
青森県,1230.17,12.6,32.8,-3.5,1316
岩手県,4956.45,12.5,33.6,-4.8,1453
宮城県,8574.17,15,33.2,-1.3,1046
秋田県,823.59,13.7,35,-2.1,2208.5
山形県,5105.96,13.7,35,-3.2,1176.5
福島県,4867.41,15.2,35,-1.4,990.5
茨城県,645.21,16.1,33.2,-1.6,1507.5
栃木県,5281.61,16,34.1,-2.1,1536.5
群馬県,7645.21,16.9,34.7,-0.1,1063
埼玉県,518.24,17.2,35.4,-0.4,1028.5
千葉県,1773.75,18.1,33.8,2.7,1268.5
東京都,772.3,17.6,34.3,1.8,1396.5
神奈川県,11236.4,18,33.7,3,1377
新潟県,2008.42,15.4,35.6,0.2,1866
富山県,623.78,16.1,35.8,0.6,2388.5
石川県,1050.5,16.6,34.8,1.5,2333
福井県,273.12,16.2,35.2,0.6,2498
山梨県,2143.98,16.4,34.5,-2.3,946.5
長野県,790.42,13.6,34.8,-4.1,830
岐阜県,2956.87,17.4,34.9,0.8,1986.5
静岡県,6405.47,18.2,33,2.4,2382.5
愛知県,292.11,17.5,34.8,1.1,1504.5
三重県,463.4,17.4,32.6,2.4,1346
滋賀県,0,16.3,34.1,1.3,1442
京都府,221.87,17.4,35.5,1.6,1345
大阪府,38.33,18,35.2,3.1,1343.5
兵庫県,398.3,18,33.9,3.5,1279.5
奈良県,92.1,16.6,34.4,0.7,1358
和歌山県,329.39,17.8,33.5,3,1268
鳥取県,153.7,16.6,35.2,1.4,2058.5
島根県,178.74,16.5,34.1,1.6,1970.5
岡山県,101.33,16.8,34,-0.1,1032
広島県,2054.12,17.5,34.3,2,1460.5
山口県,0,16.6,33.8,0.1,2067.5
徳島県,39,17.6,32.5,3.2,1761
香川県,88.02,17.6,34.2,2.3,1073
愛媛県,1947.37,17.8,33.6,2.8,1399.5
高知県,508.7,17.9,32.2,2,2783
福岡県,134.11,18.5,33.9,3.9,1768
佐賀県,243.93,18.1,34.7,2.2,2113
長崎県,733.12,18.3,33.3,3.9,2134.5
熊本県,332.01,18.1,34.3,1.7,1801.5
大分県,16.16,17.6,32.6,2.6,1566
宮崎県,183.97,18.4,32.2,3,3002.5
鹿児島県,1825,19.5,32.9,5,2510
沖縄県,2027.79,23.8,32.8,14.9,2291.5
