G1.お好み焼き,G1.焼きそば,G1.ラーメン,G1.うどん,G1.スパゲッティ,G1.蕎麦,G1.お寿司,G1.とんかつ,G1.パン,G1.白いご飯,G2.テレビ,G2.ラジオ,G2.映画,G2.LINE,G2.Instagam,G2.Twitter (X),G2.TikTok,G2.YouTube,G2.音楽サブスク,G2.動画サブスク,G3.国語の時間,G3.数学の時間,G3.英語の時間,G3.理科の時間,G3.社会の時間,G3.体育の時間,G3.音楽の時間,G3.美術の時間,G3.お弁当の時間,G3.登下校の時間,G4.本を読むこと,G4.文章を書くこと,G4.動画を見ること,G4.動画を作ること,G4.写真を見ること,G4.写真を撮ること,G4.音楽を聴くこと,G4.音楽を演ること,G4.SNSを見ること,G4.SNSに書くこと
2,2,2,2,1,-1,2,1,1,2,2,-2,1,2,2,-1,0,2,2,0,1,2,2,-1,-1,1,2,-2,1,2,0,-1,2,1,-1,2,2,0,2,-1
1,1,2,0,1,-1,-2,2,1,2,0,-1,1,2,1,2,-1,2,-2,-2,-1,2,1,1,-1,-2,2,1,2,-2,1,-2,2,-1,2,1,2,1,1,-1
2,0,2,2,2,1,0,-1,0,0,2,0,0,-2,-2,-2,-2,0,2,2,0,1,2,2,0,-2,0,1,2,1,2,1,2,1,2,2,2,1,-2,-2
2,2,2,2,1,2,-1,2,2,2,2,1,2,-1,-1,1,-1,1,1,1,1,2,-1,-1,1,-2,2,0,0,2,2,2,2,0,2,0,2,2,2,2
2,1,2,1,0,-1,2,1,-1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,1,0,-2,-1,1,0,1,0,1,0,1,0,1,0,1,0
1,2,0,2,-1,1,2,1,1,1,0,1,2,2,0,0,-2,2,2,0,2,0,0,0,2,1,2,1,-1,2,2,1,2,0,2,0,2,2,1,-1
0,2,2,2,2,2,2,-2,2,-1,2,2,2,-1,-1,-1,-1,2,2,-1,-1,2,2,2,-1,2,-1,-2,2,2,2,2,2,2,0,2,2,-2,-2,-2
2,2,2,2,2,1,2,1,1,1,1,0,2,2,2,2,2,2,2,1,-1,1,-1,0,0,2,1,1,2,1,0,-1,1,1,1,1,2,1,2,1
2,0,2,0,0,1,2,1,0,1,1,-1,2,1,1,1,0,1,0,-1,-2,2,0,1,-1,0,0,-1,1,0,0,-1,1,0,1,2,2,1,1,0
2,1,1,2,0,0,1,1,0,1,0,0,1,-1,-1,-1,-2,2,-1,-1,-2,1,0,1,0,-1,1,-2,1,0,0,-1,2,0,-1,0,1,2,1,-1
1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,0,2,2,2,0,2,-1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1
1,0,1,1,0,2,2,0,1,1,0,-1,0,1,-1,1,-1,2,1,0,1,1,0,2,0,1,1,2,0,0,2,2,2,1,0,-2,1,0,0,-2
2,1,1,0,0,0,2,2,1,1,0,0,1,1,1,1,-1,2,2,1,1,-1,0,0,0,2,1,2,2,-1,1,-1,2,1,0,1,1,0,1,-1
1,1,2,2,2,2,2,2,1,2,0,0,2,2,2,0,2,2,2,2,-1,1,1,0,0,2,0,0,2,2,-1,0,2,0,2,2,2,0,2,0
2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,2,1,-2,2,1,0,0,1,0,0,2,1,-2,-2,2,0,1,1,2,2,1,-1
1,2,2,2,2,2,2,1,1,1,0,0,0,1,0,2,-1,2,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,2,-1
2,2,0,2,1,1,0,2,0,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,-1,0,-2,2,0,2,2,2,0,1,1,2,0,2,-1
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,1,2,1,1,1,2,2,1,2,1,0,1,1,2,-1,1,2,1,1,-1,2,0,1,-1,2,1,1,2,2,0,0,1,2,1,1,1,0,1,2
1,1,2,0,1,0,2,2,2,2,0,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,1,0,-1,-2,-1,-1,0,-1,1,-1,1,0,0,0,2,0,1,-1
1,1,2,1,1,2,2,1,2,1,1,0,0,0,0,0,0,1,1,0,-1,1,0,0,1,2,2,1,1,2,1,0,1,1,0,2,2,2,1,-1
0,0,0,0,-2,1,2,1,-1,2,1,0,0,1,0,1,0,2,1,2,-1,2,1,0,-2,1,0,-1,1,-1,2,-1,2,0,0,0,1,0,1,0
1,1,1,1,1,2,2,2,1,1,1,0,1,1,0,0,0,2,1,1,-2,2,-2,1,-1,0,1,1,1,-1,-2,-2,2,0,1,-1,1,-1,1,0
1,2,2,1,2,1,2,1,1,1,1,0,1,1,2,2,-1,1,1,1,1,0,1,0,1,-1,1,2,1,1,2,2,1,0,2,0,2,0,2,1
2,0,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0
1,1,1,1,0,1,2,-1,2,2,1,0,2,2,2,2,2,2,2,2,1,2,1,0,0,2,1,2,2,2,2,2,2,0,0,0,2,0,2,0
2,2,2,2,2,1,2,2,1,2,1,-1,1,2,2,2,2,2,2,1,-2,2,1,2,0,2,-1,-2,2,2,-2,-2,2,1,2,2,2,-1,2,-1
2,1,2,1,0,0,1,0,1,1,0,0,-1,1,1,-1,2,2,2,0,-2,-1,-2,-1,-1,1,-2,-2,1,0,0,-2,0,-1,0,0,1,-1,1,-2
1,0,0,0,1,1,1,0,2,2,0,0,1,-1,0,0,0,0,0,0,0,-1,2,2,-1,1,1,1,2,0,1,-1,1,-1,1,0,2,0,0,-1
1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,0,-1,1,1,0,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,1,-2,1,-1,1,1,-1,-1
1,1,1,1,0,0,2,1,1,2,-2,-1,1,2,2,2,2,2,1,-2,-2,2,1,0,-2,2,-1,1,2,2,-2,-2,2,-1,-1,-1,2,-2,2,2
0,0,1,0,1,0,-1,1,0,1,0,0,1,1,1,0,1,2,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,0,1,-1,0,1,2,2,1,1
1,1,2,2,2,0,2,1,1,1,1,0,1,1,1,0,-2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,0,2,1,2,0,2,0
1,1,2,1,2,1,2,1,1,1,2,0,1,1,1,0,1,2,2,1,-1,1,-1,0,0,1,1,-2,1,1,1,-1,2,0,1,1,2,0,2,0
1,0,1,1,2,1,2,2,1,2,1,0,1,0,0,0,0,2,1,1,1,1,0,0,1,1,1,0,1,2,1,0,2,0,0,0,2,1,-2,-1
2,1,1,1,1,1,2,1,2,2,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,2,2,2,1,2,2,2,2,2,2,2,0,1,0
1,1,2,2,0,2,2,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,2,1,1,-1,1,0,0,0,1,1,0,0,1,1,1,1
1,1,1,0,1,1,2,1,0,1,1,0,1,1,1,1,1,1,2,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,1,0
0,1,0,2,-1,-2,2,1,2,2,1,1,2,2,1,1,-1,2,2,2,-1,2,2,1,1,-2,1,2,1,2,-1,-2,2,2,2,1,2,1,1,0
1,1,1,2,2,1,2,1,1,2,0,1,1,1,1,2,2,2,0,0,0,1,-1,1,0,-2,2,2,2,2,1,1,2,1,2,0,2,0,2,1
2,1,2,1,0,1,2,0,2,2,1,1,1,1,1,2,0,2,1,1,1,2,-1,2,1,-1,1,2,2,2,2,0,2,1,1,0,2,0,2,0
2,0,2,2,2,1,2,2,2,2,1,0,2,1,0,0,0,2,0,2,-1,2,1,2,0,2,1,1,2,2,2,-1,2,1,2,1,1,0,1,0
1,1,2,1,1,1,2,2,1,2,1,0,1,2,2,0,2,2,2,2,0,2,-1,2,0,2,0,0,2,1,0,0,1,0,1,0,2,0,1,0
1,0,2,1,1,2,2,2,0,2,0,0,2,2,2,-1,2,2,2,2,2,0,2,1,2,2,-1,2,2,2,1,0,2,0,2,1,2,1,2,-1
2,2,2,0,2,2,2,2,1,2,2,0,1,1,1,1,-1,2,2,0,-2,2,1,2,0,1,2,-2,2,1,1,-1,2,0,2,2,2,0,2,0
2,2,2,2,2,0,2,2,2,2,0,0,1,1,1,1,0,1,1,2,-2,-2,-2,-2,-2,2,-2,-2,2,2,0,0,2,0,0,0,0,0,2,2
1,1,1,0,1,2,2,2,1,1,0,1,1,1,1,1,-1,2,2,0,-2,-1,2,-2,-2,1,0,1,2,2,0,-1,1,0,1,2,2,0,1,1
1,1,2,1,2,1,2,1,1,1,2,0,1,2,1,1,1,2,2,2,-1,0,1,1,1,2,0,1,2,2,1,-1,2,1,1,1,2,0,2,0
1,1,2,2,2,1,2,1,1,1,1,0,1,1,1,2,0,2,1,1,-1,2,1,2,0,2,0,0,2,2,2,-1,2,0,0,0,1,0,1,0
1,1,2,2,2,1,2,2,2,2,-1,0,1,1,1,2,-1,2,2,1,1,2,-1,1,-1,-2,2,0,-1,-1,2,2,2,2,0,1,2,2,2,2
1,1,2,1,0,-2,2,2,0,1,1,0,2,1,0,1,-2,1,1,1,0,-2,-2,-2,-2,-2,1,-2,2,0,2,1,2,1,1,1,2,0,1,0
0,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,-1,1,-1,0,0,2,2,-1,2,2,0,-1,2,0,1,0,2,0,2,-2
2,2,2,0,1,1,2,2,2,2,2,2,2,1,2,-2,-1,2,2,2,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-2,2,0,2,2,2,2,2,-2
1,1,2,2,1,0,2,2,1,1,2,0,2,1,1,1,1,2,1,1,-2,1,0,1,-2,1,0,0,2,0,0,-1,2,0,0,0,1,-2,1,-1
1,0,2,2,1,-1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,-2,0,0,0,-1,1,-1,1,2,0,0,0,1,0,1,1,1,0,1,0
2,1,1,0,1,1,2,2,1,1,1,0,2,0,0,-1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,1,0,1,-1,1,0,1,-1
1,1,2,1,0,0,1,2,1,1,0,0,0,1,0,1,1,1,1,1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,-1,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,1,0,2,1,0,2,-1,-2,-1,-1,1,-1,1,0,0,0,0,0,1,0,0,0,2,0,-1,1,0,1,0,0,0,1,-1
2,2,2,2,2,2,2,2,2,2,0,2,1,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,-1,1,0,1,0,1,0,2,0,0,0
1,1,2,2,1,1,0,1,1,1,0,0,1,0,0,1,-1,1,0,0,0,1,1,1,0,0,0,-1,1,-1,2,2,2,1,1,0,2,0,1,0
1,1,1,1,1,1,2,1,0,1,-1,0,0,0,1,2,-1,2,2,1,-1,1,0,1,1,2,0,-2,1,2,0,-1,2,-1,1,1,2,-2,2,0
1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,-1,1,1,0,0,1,1,0,2,0,1,-1,1,0,1,0,2,1,1,0
2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,1,2,2,2,-1,2,0,2,2,1,2,-1,2,2,0,0,2,2,2,2,2,1,2,1
1,1,2,0,1,1,2,1,1,2,0,1,0,0,0,1,-1,1,1,0,1,0,1,1,1,2,2,-1,2,2,2,2,0,-1,1,1,0,-1,1,-1
1,1,1,0,1,0,1,2,0,0,0,0,1,1,0,1,1,1,2,1,-1,1,-2,0,1,2,0,0,0,-1,-1,-1,1,0,1,0,2,-2,1,-1
1,2,1,1,1,1,2,2,2,1,0,0,2,0,-1,0,0,2,2,2,1,1,-1,1,0,1,0,2,2,0,1,0,2,-1,-1,-1,1,1,-1,0
2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,0,2,2,2,1,1,-1,1,0,1,1,2,1,2,1,0,2,1,1,1,2,1,2,1
2,2,2,2,0,0,2,2,2,2,1,1,2,0,0,1,-1,2,2,2,1,1,2,2,2,0,0,-1,2,0,1,0,2,1,1,1,2,1,2,2
