地域,救急自動車数,交通事故発生件数,交通事故死傷者数,交通事故負傷者数
北海道,435,"9,082","10,732","10,601"
青森県,111,"2,619","3,144","3,099"
岩手県,102,"1,503","1,831","1,796"
宮城県,125,"4,033","4,979","4,932"
秋田県,87,"1,155","1,371","1,339"
山形県,82,"2,780","3,329","3,295"
福島県,136,"2,913","3,458","3,403"
茨城県,175,"6,489","7,978","7,885"
栃木県,111,"3,808","4,609","4,550"
群馬県,114,"10,038","12,424","12,377"
埼玉県,297,"17,002","20,343","20,221"
千葉県,282,"13,564","16,386","16,259"
東京都,370,"31,385","35,006","34,870"
神奈川県,333,"21,870","25,759","25,644"
新潟県,160,"2,721","3,151","3,096"
富山県,64,"1,878","2,139","2,108"
石川県,67,"2,059","2,384","2,356"
福井県,57,986,"1,153","1,133"
山梨県,64,"2,112","2,624","2,595"
長野県,146,"5,006","5,993","5,951"
岐阜県,152,"3,077","3,856","3,806"
静岡県,177,"18,662","23,643","23,573"
愛知県,288,"24,547","29,135","28,990"
三重県,125,"2,976","3,833","3,767"
滋賀県,67,"2,767","3,418","3,375"
京都府,118,"4,067","4,727","4,668"
大阪府,331,"25,951","30,245","30,097"
兵庫県,238,"16,281","19,216","19,113"
奈良県,82,"2,600","3,191","3,165"
和歌山県,86,"1,355","1,619","1,588"
鳥取県,34,656,776,762
島根県,77,756,869,847
岡山県,121,"5,161","5,865","5,816"
広島県,170,"4,766","5,680","5,602"
山口県,94,"2,269","2,734","2,699"
徳島県,54,"1,987","2,380","2,352"
香川県,55,"3,041","3,745","3,712"
愛媛県,93,"2,115","2,358","2,315"
高知県,73,975,"1,072","1,049"
福岡県,208,"20,173","25,802","25,699"
佐賀県,52,"3,144","4,050","4,037"
長崎県,98,"2,639","3,353","3,317"
熊本県,122,"3,312","4,177","4,140"
大分県,75,"2,233","2,799","2,767"
宮崎県,58,"3,488","3,938","3,908"
鹿児島県,140,"2,965","3,388","3,348"
沖縄県,85,"2,964","3,611","3,573"
,,,,
***,,,,
-,,,,
X,,,,
